Search terms report
"December 16, 2024 - December 22, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
social media marketing agency india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medical software india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,3,33.33%,INR,31.89,31.89,Search,0.00%,0.00,0.00
adit digital marketing,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental seo agency,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare consultancy india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hospital ki marketing kaise kare,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to get clients for digital marketing in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hospital digital marketing mumbai,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medcytes,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
entrepot media the best digital marketing company in kolkata for doctors clinic health care college seo company,Phrase match,None,Doctor SEO Campaign - Bangalore,DM for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best digital marketing agency for healthcare,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
meditwitt,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medical social media marketing,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency in hyderabad,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare ad agency,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
top digital marketing firms in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing agency in hyderabad,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
